id,Title,Movie Link,Year,Duration,MPA,Rating,Votes,budget,grossWorldWide,opening_weekend_Gross,genres
tt0073172,Inserts,https://www.imdb.com/title/tt0073172,1975,1h 57m,NC-17,6.3,2.5K,350000.0,,,"['Comedy', 'Drama']"
tt0072732,Brannigan,https://www.imdb.com/title/tt0072732,1975,1h 51m,PG,6.1,6.6K,,,,"['Buddy Comedy', 'Dark Comedy', 'Action', 'Comedy', 'Crime', 'Drama']"
tt0072886,Doc Savage: The Man of Bronze,https://www.imdb.com/title/tt0072886,1975,1h 40m,G,5.4,2.2K,,,,"['Action', 'Adventure', 'Comedy', 'Crime', 'Fantasy']"
tt0072761,Capone,https://www.imdb.com/title/tt0072761,1975,1h 41m,R,5.7,3.3K,970000.0,,,"['True Crime', 'Biography', 'Crime', 'Drama']"
tt0073113,The Hindenburg,https://www.imdb.com/title/tt0073113,1975,2h 5m,PG,6.3,6.8K,15000000.0,,,"['Tragedy', 'Adventure', 'Drama', 'History', 'Thriller']"
tt0072608,The Adventure of Sherlock Holmes' Smarter Brother,https://www.imdb.com/title/tt0072608,1975,1h 31m,PG,6.0,7.5K,,,,"['Parody', 'Satire', 'Slapstick', 'Comedy', 'Crime', 'Music', 'Mystery', 'Romance']"
tt0073396,Mitchell,https://www.imdb.com/title/tt0073396,1975,1h 37m,R,2.8,5K,,,,"['Action', 'Crime', 'Drama', 'Thriller']"
tt0073286,The Private Lesson,https://www.imdb.com/title/tt0073286,1975,1h 35m,,4.8,482,,,,"['Teen Comedy', 'Comedy']"
tt0071486,Fantozzi,https://www.imdb.com/title/tt0071486,1975,1h 48m,PG-13,7.8,7.3K,,,,['Comedy']
tt0075016,One of Our Dinosaurs Is Missing,https://www.imdb.com/title/tt0075016,1975,1h 34m,G,5.9,2K,,,,"['Dinosaur Adventure', 'Adventure', 'Comedy', 'Family', 'Mystery', 'Thriller']"
tt0070326,The Little Mermaid,https://www.imdb.com/title/tt0070326,1975,1h 14m,Not Rated,7.3,1.2K,,,,"['Anime', 'Adventure', 'Animation', 'Drama', 'Family', 'Fantasy', 'Musical', 'Romance']"
tt0073639,Royal Flash,https://www.imdb.com/title/tt0073639,1975,1h 42m,PG,6.3,2.3K,3500000.0,,,"['Period Drama', 'Adventure', 'Comedy', 'History', 'Romance']"
tt0073335,Mahogany,https://www.imdb.com/title/tt0073335,1975,1h 49m,PG,6.1,2.3K,,,,"['Drama', 'Romance']"
tt0072869,The Devil's Rain,https://www.imdb.com/title/tt0072869,1975,1h 26m,PG,5.1,5.3K,,1800000.0,,['Horror']
tt0073697,"'Sheba, Baby'",https://www.imdb.com/title/tt0073697,1975,1h 30m,PG,5.6,1.9K,,,,"['Action', 'Crime', 'Drama', 'Thriller']"
tt0072783,Chupke Chupke,https://www.imdb.com/title/tt0072783,1975,2h 26m,Not Rated,8.3,13K,991000.0,,,"['Comedy', 'Drama', 'Romance']"
tt0073668,Varsity Playthings,https://www.imdb.com/title/tt0073668,1975,1h 32m,R,3.9,236,,,,"['Comedy', 'Drama', 'Romance']"
tt0073594,The Four of the Apocalypse...,https://www.imdb.com/title/tt0073594,1975,1h 27m,Unrated,6.3,3.1K,,,,"['Spaghetti Western', 'Fantasy', 'Western']"
tt0073822,The Magic Flute,https://www.imdb.com/title/tt0073822,1975,2h 15m,G,7.4,5.4K,650000.0,13899.0,,"['Buddy Comedy', 'Supernatural Fantasy', 'Comedy', 'Fantasy', 'Music', 'Romance']"
